,RH,SR,Temperature,WBGT,Wind
1909,41.28695,264069.3,32.197174,24.836575,5.1760464
1910,57.4131,3097.8862,27.977936,22.643286,5.1666713
1911,56.133823,3.5999988e-12,26.94986,21.56208,4.441109
1912,49.7614,3.5999988e-12,27.066315,21.045948,3.5585163
1913,46.629185,3.5999988e-12,24.996002,19.011671,2.9746757
1914,40.64966,3.5999988e-12,25.004547,18.524931,2.6636014
1915,34.855026,3.5999988e-12,25.3107,18.280458,2.5292249
1916,39.99883,3.5999988e-12,23.261017,17.087978,2.2939506
1917,37.04926,3.5999988e-12,22.716095,16.436684,2.2460697
1918,38.012672,3.5999988e-12,22.137726,16.044008,2.3649852
1919,37.722645,3.5999988e-12,22.100739,15.9869995,2.4642093
1920,36.33697,3.5999988e-12,22.317902,16.055294,2.4792838
1921,35.813133,3.5999988e-12,22.500885,16.162298,2.4381645
1922,34.813778,159678.56,25.072418,18.214373,2.6193054
1923,34.058994,673251.56,26.210999,19.49502,2.384873
1924,34.096016,1568068.0,26.933594,19.585331,3.052036
1925,23.83632,2249920.0,31.28659,21.641634,3.2523358
1926,22.849743,2849478.0,32.5524,22.48734,2.9131474
1927,23.541018,3026809.0,32.66397,22.687738,2.2761316
1928,20.561123,3026623.0,34.07144,23.26311,1.9942764
1929,20.182402,2911610.0,34.66617,23.619999,2.1231146
1930,21.764307,2487330.0,33.70401,23.126337,2.1672633
1931,21.114302,1862397.0,33.894073,23.099491,2.5256102
1932,20.690813,1091628.2,33.749664,22.850113,3.1423793
1933,20.679293,341123.8,33.011993,22.857237,3.4160879
1934,27.542866,3533.0251,29.141022,20.465641,4.279824
1935,28.738678,3.5999988e-12,27.970856,19.686783,4.00102
1936,29.479277,3.5999988e-12,27.408112,19.327316,3.1972988
1937,37.405655,3.5999988e-12,24.395416,17.755249,2.732361
1938,37.79005,3.5999988e-12,23.933258,17.451103,2.3044646
1939,40.017326,3.5999988e-12,23.52652,17.28864,2.4791503
1940,42.191868,3.5999988e-12,21.53897,15.860445,2.4239151
1941,44.264137,3.5999988e-12,21.675934,16.114513,2.4247851
1942,44.399662,3.5999988e-12,19.995026,14.77128,2.4780998
1943,45.698204,3.5999988e-12,19.89212,14.775118,2.3932533
1944,47.82925,3.5999988e-12,20.419708,15.338918,2.3441412
1945,43.807957,3.5999988e-12,21.832428,16.22931,2.1319027
1946,41.087368,184780.0,24.393585,18.290447,1.7820855
1947,35.651062,882379.8,24.7919,18.752201,1.7069248
1948,33.977333,1668802.0,26.420074,19.192331,2.5822773
1949,26.724329,2351502.0,31.701263,22.356836,3.048363
